,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
83,2017,3,Sants-Montjuic,11,el Poble Sec,Female,1492
84,2017,3,Sants-Montjuic,12,la Marina del Prat Vermell,Female,15
85,2017,3,Sants-Montjuic,13,la Marina de Port,Female,775
86,2017,3,Sants-Montjuic,14,la Font de la Guatlla,Female,295
87,2017,3,Sants-Montjuic,15,Hostafrancs,Female,575
88,2017,3,Sants-Montjuic,16,la Bordeta,Female,474
89,2017,3,Sants-Montjuic,17,Sants - Badal,Female,773
90,2017,3,Sants-Montjuic,18,Sants,Female,1432
91,2017,4,Les Corts,19,les Corts,Female,1222
92,2017,4,Les Corts,20,la Maternitat i Sant Ramon,Female,727
93,2017,4,Les Corts,21,Pedralbes,Female,397
94,2017,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,98
95,2017,5,Sarria-Sant Gervasi,23,Sarrià,Female,602
96,2017,5,Sarria-Sant Gervasi,24,les Tres Torres,Female,365
97,2017,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,650
98,2017,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Female,1342
99,2017,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Female,782
100,2017,6,Gracia,28,Vallcarca i els Penitents,Female,417
101,2017,6,Gracia,29,el Coll,Female,206
102,2017,6,Gracia,30,la Salut,Female,350
103,2017,6,Gracia,31,la Vila de Gracia,Female,1964
104,2017,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Female,958
105,2017,7,Horta-Guinardo,33,el Baix Guinardó,Female,665
106,2017,7,Horta-Guinardo,34,Can Baró,Female,233
107,2017,7,Horta-Guinardo,35,el Guinardó,Female,963
108,2017,7,Horta-Guinardo,36,la Font d'en Fargues,Female,162
109,2017,7,Horta-Guinardo,37,el Carmel,Female,743
110,2017,7,Horta-Guinardo,38,la Teixonera,Female,266
111,2017,7,Horta-Guinardo,39,Sant Genís dels Agudells,Female,173
112,2017,7,Horta-Guinardo,40,Montbau,Female,127
113,2017,7,Horta-Guinardo,41,la Vall d'Hebron,Female,95
114,2017,7,Horta-Guinardo,42,la Clota,Female,21
115,2017,7,Horta-Guinardo,43,Horta,Female,606
116,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,547
117,2017,8,Nou Barris,45,Porta,Female,751
118,2017,8,Nou Barris,46,el Turó de la Peira,Female,469
119,2017,8,Nou Barris,47,Can Peguera,Female,31
120,2017,8,Nou Barris,48,la Guineueta,Female,275
121,2017,8,Nou Barris,49,Canyelles,Female,78
122,2017,8,Nou Barris,50,les Roquetes,Female,507
123,2017,8,Nou Barris,51,Verdun,Female,361
124,2017,8,Nou Barris,52,la Prosperitat,Female,635
125,2017,8,Nou Barris,53,la Trinitat Nova,Female,237
126,2017,8,Nou Barris,54,Torre Baró,Female,42
127,2017,8,Nou Barris,55,Ciutat Meridiana,Female,429
128,2017,8,Nou Barris,56,Vallbona,Female,38
129,2017,9,Sant Andreu,57,la Trinitat Vella,Female,307
130,2017,9,Sant Andreu,58,Baró de Viver,Female,45
131,2017,9,Sant Andreu,59,el Bon Pastor,Female,351
132,2017,9,Sant Andreu,60,Sant Andreu,Female,1026
133,2017,9,Sant Andreu,61,la Sagrera,Female,711
134,2017,9,Sant Andreu,62,el Congrés i els Indians,Female,306
135,2017,9,Sant Andreu,63,Navas,Female,487
136,2017,10,Sant Marti,64,el Camp de l'Arpa del Clot,Female,1126
137,2017,10,Sant Marti,65,el Clot,Female,651
138,2017,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Female,469
139,2017,10,Sant Marti,67,la Vila Olímpica del Poblenou,Female,220
140,2017,10,Sant Marti,68,el Poblenou,Female,891
141,2017,10,Sant Marti,69,Diagonal Mar i el Front Marítim del Poblenou,Female,401
142,2017,10,Sant Marti,70,el Besòs i el Maresme,Female,870
143,2017,10,Sant Marti,71,Provençals del Poblenou,Female,505
144,2017,10,Sant Marti,72,Sant Marti de Provençals,Female,537
145,2017,10,Sant Marti,73,la Verneda i la Pau,Female,638
146,2016,1,Ciutat Vella,1,el Raval,Male,2819
147,2016,1,Ciutat Vella,2,el Barri Gòtic,Male,1135
148,2016,1,Ciutat Vella,3,la Barceloneta,Male,785
149,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,1210
150,2016,2,Eixample,5,el Fort Pienc,Male,962
151,2016,2,Eixample,6,la Sagrada Família,Male,1472
152,2016,2,Eixample,7,la Dreta de l'Eixample,Male,1367
153,2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,1412
154,2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,1667
155,2016,2,Eixample,10,Sant Antoni,Male,1067
156,2016,3,Sants-Montjuic,11,el Poble Sec,Male,1439
157,2016,3,Sants-Montjuic,12,la Marina del Prat Vermell,Male,18
